resource,price
Base Metals,1567.06
Condensates,346.16
Condensed Alloy,867.07
Construction Blocks,422.97
Coolant,668.67
Crystal Compound,738.74
Dark Compound,976.06
Fiber Composite,413.15
Gleaming Alloy,342.08
Glossy Compound,630.53
Heavy Metals,657.01
Heavy Water,86.12
Industrial Fibers,2030.3
Ionic Solutions,1386.85
Liquid Ozone,488.46
Lucent Compound,613.68
Lustering Alloy,564.49
Motley Compound,809.13
Nanites,1932.07
Noble Gas,358.05
Noble Metals,697.79
Opulent Compound,809.79
Oxygen Isotopes,3453.35
Plasmoids,9842.52
Polyaramids,194.38
Precious Alloy,777.08
Reactive Gas,157.98
Reactive Metals,1119.3
Sheen Compound,602.55
Silicate Glass,1270.35
Smartfab Units,379.46
Supertensile Plastics,914.49
Suspended Plasma,203.68
Toxic Metals,1843.41

